Action	Reward
{'layer1_row185': [1, 185]}	tensor(0.8867)
{'layer1_row35': [1, 35]}	tensor(0.8874)
{'layer2_col6': [2, 9]}	tensor(0.8878)
{'layer1_row177': [1, 177]}	tensor(0.8887)
{'layer2_col387': [2, 9]}	tensor(0.8891)
{'layer2_col164': [2, 9]}	tensor(0.8893)
{'layer1_row256': [1, 256]}	tensor(0.8892)
{'layer0_col227': [0, 699]}	tensor(0.8893)
{'layer1_col331': [1, 499]}	tensor(0.8890)
{'layer1_col64': [1, 499]}	tensor(0.8884)
{'layer0_row205': [0, 205]}	tensor(0.8901)
{'layer2_col268': [2, 9]}	tensor(0.8896)
{'layer1_col267': [1, 499]}	tensor(0.8901)
{'layer1_row358': [1, 358]}	tensor(0.8913)
{'layer0_col657': [0, 699]}	tensor(0.8911)
{'layer1_row378': [1, 378]}	tensor(0.8916)
{'layer1_row191': [1, 191]}	tensor(0.8914)
{'layer0_col168': [0, 699]}	tensor(0.8908)
{'layer2_col350': [2, 9]}	tensor(0.8910)
{'layer2_col184': [2, 9]}	tensor(0.8919)
{'layer0_row312': [0, 312]}	tensor(0.8915)
{'layer0_col778': [0, 699]}	tensor(0.8919)
{'layer0_col775': [0, 699]}	tensor(0.8917)
{'layer1_row430': [1, 430]}	tensor(0.8913)
{'layer0_col701': [0, 699]}	tensor(0.8917)
{'layer1_row384': [1, 384]}	tensor(0.8918)
{'layer1_row257': [1, 257]}	tensor(0.8907)
{'layer2_col243': [2, 9]}	tensor(0.8906)
{'layer1_row153': [1, 153]}	tensor(0.8907)
{'layer0_row584': [0, 584]}	tensor(0.8910)
{'layer0_col50': [0, 699]}	tensor(0.8902)
{'layer0_col637': [0, 699]}	tensor(0.8909)
{'layer0_row664': [0, 664]}	tensor(0.8906)
{'layer0_col13': [0, 699]}	tensor(0.8914)
{'layer1_col333': [1, 499]}	tensor(0.8911)
{'layer0_row403': [0, 403]}	tensor(0.8912)
{'layer1_col671': [1, 499]}	tensor(0.8908)
{'layer1_row298': [1, 298]}	tensor(0.8913)
{'layer2_col264': [2, 9]}	tensor(0.8909)
{'layer1_col608': [1, 499]}	tensor(0.8920)
{'layer1_row162': [1, 162]}	tensor(0.8921)
{'layer2_col45': [2, 9]}	tensor(0.8913)
{'layer1_row277': [1, 277]}	tensor(0.8910)
{'layer2_col89': [2, 9]}	tensor(0.8916)
{'layer0_row183': [0, 183]}	tensor(0.8918)
{'layer0_col143': [0, 699]}	tensor(0.8914)
{'layer1_row12': [1, 12]}	tensor(0.8907)
{'layer1_row467': [1, 467]}	tensor(0.8910)
{'layer0_row372': [0, 372]}	tensor(0.8908)
{'layer0_col427': [0, 699]}	tensor(0.8914)
{'layer0_row468': [0, 468]}	tensor(0.8917)
{'layer0_col415': [0, 699]}	tensor(0.8910)
{'layer0_col446': [0, 699]}	tensor(0.8914)
{'layer0_row668': [0, 668]}	tensor(0.8914)
{'layer0_col772': [0, 699]}	tensor(0.8909)
{'layer1_row330': [1, 330]}	tensor(0.8896)
{'layer1_row495': [1, 495]}	tensor(0.8911)
{'layer1_row382': [1, 382]}	tensor(0.8902)
{'layer0_row413': [0, 413]}	tensor(0.8901)
{'layer0_row151': [0, 151]}	tensor(0.8904)
{'layer1_col351': [1, 499]}	tensor(0.8903)
{'layer0_col626': [0, 699]}	tensor(0.8903)
{'layer1_col683': [1, 499]}	tensor(0.8902)
{'layer1_row396': [1, 396]}	tensor(0.8893)
{'layer0_row200': [0, 200]}	tensor(0.8880)
{'layer0_col475': [0, 699]}	tensor(0.8882)
{'layer1_row414': [1, 414]}	tensor(0.8891)
{'layer1_col611': [1, 499]}	tensor(0.8893)
{'layer0_row650': [0, 650]}	tensor(0.8889)
{'layer2_col484': [2, 9]}	tensor(0.8887)
{'layer1_col39': [1, 499]}	tensor(0.8873)
{'layer1_col447': [1, 499]}	tensor(0.8890)
{'layer1_row120': [1, 120]}	tensor(0.8882)
{'layer0_row153': [0, 153]}	tensor(0.8889)
{'layer2_col460': [2, 9]}	tensor(0.8893)
{'layer2_col131': [2, 9]}	tensor(0.8889)
{'layer1_col410': [1, 499]}	tensor(0.8893)
{'layer0_row592': [0, 592]}	tensor(0.8887)
{'layer0_col76': [0, 699]}	tensor(0.8885)
{'layer2_col214': [2, 9]}	tensor(0.8883)
{'layer2_col78': [2, 9]}	tensor(0.8873)
{'layer1_row96': [1, 96]}	tensor(0.8892)
{'layer2_col263': [2, 9]}	tensor(0.8886)
{'layer0_row223': [0, 223]}	tensor(0.8896)
{'layer1_col149': [1, 499]}	tensor(0.8886)
{'layer1_col590': [1, 499]}	tensor(0.8883)
{'layer1_col314': [1, 499]}	tensor(0.8883)
{'layer1_col200': [1, 499]}	tensor(0.8893)
{'layer0_row442': [0, 442]}	tensor(0.8886)
{'layer2_col20': [2, 9]}	tensor(0.8885)
{'layer0_col644': [0, 699]}	tensor(0.8887)
{'layer0_col315': [0, 699]}	tensor(0.8887)
{'layer2_col450': [2, 9]}	tensor(0.8890)
{'layer1_row126': [1, 126]}	tensor(0.8889)
{'layer2_col366': [2, 9]}	tensor(0.8894)
{'layer0_col8': [0, 699]}	tensor(0.8891)
{'layer0_row415': [0, 415]}	tensor(0.8898)
{'layer2_col200': [2, 9]}	tensor(0.8884)
{'layer0_row436': [0, 436]}	tensor(0.8896)
{'layer0_row597': [0, 597]}	tensor(0.8892)
{'layer0_row446': [0, 446]}	tensor(0.8906)
{'layer0_row645': [0, 645]}	tensor(0.8898)
{'layer0_col80': [0, 699]}	tensor(0.8897)
{'layer1_row210': [1, 210]}	tensor(0.8902)
{'layer0_col660': [0, 699]}	tensor(0.8906)
{'layer0_row651': [0, 651]}	tensor(0.8907)
{'layer1_col157': [1, 499]}	tensor(0.8891)
{'layer0_col519': [0, 699]}	tensor(0.8914)
{'layer2_col237': [2, 9]}	tensor(0.8903)
{'layer2_col463': [2, 9]}	tensor(0.8906)
{'layer1_col369': [1, 499]}	tensor(0.8911)
{'layer1_row377': [1, 377]}	tensor(0.8895)
{'layer0_col413': [0, 699]}	tensor(0.8901)
{'layer0_row18': [0, 18]}	tensor(0.8904)
{'layer0_col16': [0, 699]}	tensor(0.8902)
{'layer0_row566': [0, 566]}	tensor(0.8901)
{'layer2_col53': [2, 9]}	tensor(0.8898)
{'layer0_col291': [0, 699]}	tensor(0.8897)
{'layer0_row246': [0, 246]}	tensor(0.8898)
{'layer1_col332': [1, 499]}	tensor(0.8904)
{'layer2_col44': [2, 9]}	tensor(0.8902)
{'layer1_col190': [1, 499]}	tensor(0.8897)
{'layer2_col211': [2, 9]}	tensor(0.8894)
{'layer1_col689': [1, 499]}	tensor(0.8901)
{'layer1_col574': [1, 499]}	tensor(0.8902)
{'layer0_col641': [0, 699]}	tensor(0.8901)
{'layer0_col201': [0, 699]}	tensor(0.8886)
{'layer0_col314': [0, 699]}	tensor(0.8900)
{'layer1_col361': [1, 499]}	tensor(0.8908)
{'layer0_row160': [0, 160]}	tensor(0.8898)
{'layer2_col34': [2, 9]}	tensor(0.8909)
{'layer0_row447': [0, 447]}	tensor(0.8898)
